system:index,MNDWI,NBR,NDMI,NDVI,block_id,blue,class_numeric,dist_to_water,elev_rel_lake,green,nir,red,reserve_id,slope,swir1,swir2,.geo
0,-0.43162295,0.6093879,0.32211313,0.7094386,8.51703964E8,0.02974875,6.0,42.426407,8.0,0.0529175,0.25562,0.04176625,4,3.0924196,0.13738374,0.0624325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.852427035421788,46.85498961771016]}"
1,-0.40010244,0.6426674,0.3445174,0.7218566,8.51703964E8,0.03412125,4.0,30.0,7.0,0.0571525,0.27403125,0.04176625,4,2.2966952,0.13191125,0.0608375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.85282040391586,46.85499163796719]}"
2,-0.4435627,0.41164255,0.10773758,0.5443687,8.51703965E8,0.04501125,5.0,42.426407,5.0,0.069115,0.22461376,0.06761625,4,3.7047918,0.187585,0.09759125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.8520307190114496,46.85525744781685]}"
3,-0.43795598,0.4564467,0.17782326,0.5866585,8.51703965E8,0.04195875,5.0,30.0,5.0,0.06169,0.22719875,0.058115,4,4.6273675,0.162505,0.0849275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.8524240894494675,46.85525946943782]}"
4,-0.42903718,0.5565115,0.23208728,0.6491343,8.51703965E8,0.03749,1.0,0.0,5.0,0.05942125,0.23461,0.04866875,4,2.7802885,0.15099625,0.06879875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.852817459917028,46.855261489704915]}"
5,-0.41651586,0.5592041,0.27672836,0.70007664,8.51703965E8,0.03329625,4.0,30.0,7.0,0.059435,0.23531125,0.04231625,4,6.543783,0.1464725,0.07000875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.853210830414134,46.8552635086181]}"
6,-0.4701103,0.43881083,0.11952885,0.58704245,8.51703965E8,0.042825,3.0,60.0,4.0,0.06906,0.244015,0.0608375,4,0.92740995,0.1949,0.096615,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.851634398654112,46.855525276538785]}"
7,-0.4736901,0.39167035,0.08906324,0.5594057,8.51703965E8,0.0479125,6.0,30.0,4.0,0.0705725,0.232465,0.0667775,4,0.92740995,0.20524,0.1045625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.85202777103605,46.85552729952376]}"
8,-0.46843657,0.3940718,0.08811925,0.54310393,8.51703965E8,0.04662,1.0,0.0,3.0,0.0747525,0.228285,0.0734875,4,1.8543341,0.19589,0.107945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.852421143447581,46.855529321154776]}"
9,-0.46234277,0.3881255,0.08676041,0.5471292,8.51703965E8,0.042715,1.0,0.0,4.0,0.0718925,0.215635,0.0632025,4,1.6426519,0.186485,0.0990075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.852814515888653,46.8555313414319]}"
10,-0.44567725,0.4069902,0.12819658,0.5518101,8.51703965E8,0.0377925,6.0,30.0,5.0,0.06884,0.221355,0.0639725,4,2.86439,0.1771075,0.0990075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.853207888359269,46.85553336035516]}"
11,-0.45458737,0.5477666,0.23510809,0.66876346,8.51703965E8,0.0377925,6.0,60.0,6.0,0.0586375,0.2580125,0.0484625,4,3.8799732,0.1646225,0.076705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.853601260859404,46.85553537792451]}"
12,-0.4245144,0.6156713,0.3356629,0.7380712,8.51803965E8,0.039745,4.0,90.0,7.0,0.05674,0.2823775,0.0452175,4,6.145753,0.14045,0.06554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.8539946333890205,46.85553739413994]}"
13,-0.30473918,0.48111078,0.22448169,0.5374985,8.51603965E8,0.05256,2.0,94.86833,6.0,0.0841025,0.2541075,0.075055,4,1.6426576,0.1552175,0.0900975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.847697706752071,46.85577482380979]}"
14,-0.24542867,0.55437,0.2736641,0.59880525,8.51603965E8,0.0445025,2.0,90.0,6.0,0.069115,0.2174775,0.0560525,4,1.356052,0.1278825,0.0646325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.848091080810663,46.855776860343866]}"
15,-0.4740273,0.44687694,0.12063287,0.59543955,8.51703965E8,0.0387,4.0,42.426407,4.0,0.059985,0.21259625,0.05576375,4,1.356052,0.17258374,0.08714125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.85163144867562,46.85579512822484]}"
16,-0.49261612,0.42119458,0.09078678,0.5964011,8.51703965E8,0.0419725,4.0,30.0,4.0,0.06321625,0.220585,0.0594075,4,1.356052,0.1837625,0.08983625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.852024823031081,46.85579715121986]}"
17,-0.49178892,0.3794664,0.074205674,0.56665546,8.51703965E8,0.04594625,1.0,0.0,3.0,0.0705175,0.2335375,0.06695625,4,1.356052,0.20797625,0.10848125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.852418197416137,46.855799172860976]}"
18,-0.4744443,0.39289385,0.09875311,0.54520917,8.51703965E8,0.044695,6.0,30.0,4.0,0.07259375,0.24081124,0.068015,4,2.864403,0.20172,0.102665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.852811571830736,46.85580119314816]}"
19,-0.46735284,0.45351627,0.16863075,0.593791,8.51703965E8,0.04448875,2.0,42.426407,6.0,0.070655,0.256885,0.0668875,4,1.356052,0.18242875,0.09860875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.853204946274889,46.85580321208145]}"
20,-0.45806703,0.5545149,0.25293407,0.6964164,8.51703965E8,0.042055,2.0,67.08204,6.0,0.0683175,0.3083925,0.05397625,4,0.0,0.18611374,0.0880625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.8535983207485485,46.855805229660824]}"
21,-0.44275132,0.63862795,0.34905118,0.7474183,8.51803965E8,0.04025375,6.0,94.86833,6.0,0.0656225,0.34797874,0.0502225,4,0.92740995,0.16980626,0.07676,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.853991695251701,46.85580724588628]}"
22,-0.46314657,0.58513343,0.30430117,0.7248793,8.51803965E8,0.04305875,4.0,123.69317,8.0,0.07053125,0.3478275,0.05584625,4,8.15992,0.19934125,0.09137625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.854385069784358,46.85580926075782]}"
23,0.0025539056,0.45805013,0.23969276,0.39608896,8.51503965E8,0.05304125,2.0,150.0,1.0,0.07094375,0.1169925,0.050195,4,3.0924318,0.0803075,0.045905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.845334481442024,46.856032427686486]}"
24,-0.22060357,0.32675618,0.15735085,0.35473856,8.51603965E8,0.0993375,2.0,84.85281,5.0,0.13891,0.3082,0.1408625,4,1.6426635,0.22361,0.15222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.8473013610061315,46.856042637485885]}"
25,-0.2769258,0.25159714,0.09349213,0.35789418,8.51603965E8,0.0960925,2.0,67.08204,5.0,0.1321175,0.28415126,0.1303575,4,2.2967117,0.24001375,0.17607625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.847694737008505,46.85604467538404]}"
26,-0.2879411,0.23994464,0.09933893,0.37234947,8.51603965E8,0.08688,2.0,60.0,6.0,0.1237575,0.2587825,0.124005,4,1.6426635,0.23208,0.16542,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.848088113040634,46.85604671192825]}"
27,-0.28239703,0.34832156,0.16323428,0.43546048,8.51603965E8,0.07544,3.0,67.08204,6.0,0.11141,0.272725,0.10822,4,0.92740995,0.19864,0.138635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.848481489102562,46.85604874711858]}"
28,-0.4525329,0.45668527,0.16255876,0.6205291,8.51703965E8,0.04046,2.0,60.0,2.0,0.06147,0.2235825,0.0524775,4,1.6426635,0.1708375,0.0727725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.851235122368076,46.85606295554117]}"
29,-0.43916935,0.46881324,0.1494598,0.59553695,8.51703965E8,0.0398275,2.0,30.0,4.0,0.060755,0.22433876,0.05240875,4,1.3560591,0.1680875,0.07674625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.85162849866752,46.85606497990016]}"
30,-0.45129314,0.49179843,0.13878265,0.59841436,8.51703965E8,0.04091375,1.0,0.0,4.0,0.06321625,0.2296875,0.0578125,4,1.3560591,0.17378,0.0803075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.852021874996532,46.856067002905256]}"
